"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"711";"93";"Bérubé";"Pascal";"8";"P.Q.";"18025";"61.16";"11313"
"711";"904";"Gravel";"Dave";"6";"P.L.Q./Q.L.P.";"6712";"22.77";"0"
"711";"302";"Gobeil-Nadon";"Yann";"27";"C.A.Q.-É.F.L.";"3019";"10.24";"0"
"711";"449";"Tremblay";"Gérald";"11";"Q.S.";"1511";"5.13";"0"
"711";"782";"Vadeboncoeur Harrison";"Joëlle";"26";"O.N. - P.I.Q.";"207";"0.7";"0"
"103";"103";"Bolduc";"Ghislain";"6";"P.L.Q./Q.L.P.";"10840";"40.79";"2961"
"103";"95";"Hallé";"Isabelle";"8";"P.Q.";"7879";"29.65";"0"
"103";"279";"Boulanger";"Pierre-Luc";"27";"C.A.Q.-É.F.L.";"6078";"22.87";"0"
"103";"473";"Nadeau";"Ludovick";"11";"Q.S.";"1541";"5.8";"0"
"103";"755";"Beaudin";"Évelyne";"26";"O.N. - P.I.Q.";"236";"0.89";"0"
"383";"176";"Khadir";"Amir";"11";"Q.S.";"13228";"46.19";"6635"
"383";"728";"Sagala";"Richard";"6";"P.L.Q./Q.L.P.";"6593";"23.02";"0"
"383";"189";"Legault";"Sylvie";"8";"P.Q.";"5872";"20.5";"0"
"383";"871";"Clavet";"Alain";"27";"C.A.Q.-É.F.L.";"2400";"8.38";"0"
"383";"783";"Servant";"Martin";"26";"O.N. - P.I.Q.";"228";"0.8";"0"
"383";"891";"Deslandes";"Hate's";"2";"B.P.";"189";"0.66";"0"
"383";"798";"Hughes";"Roger";"0";"Ind";"129";"0.45";"0"
"451";"86";"Charbonneau";"Francine";"6";"P.L.Q./Q.L.P.";"16499";"50.5";"8160"
"451";"277";"Benhabib";"Djemila";"8";"P.Q.";"8339";"25.52";"0"
